added,ccode,homebranch,location
1,GRAPHIC,SENECA,CHILDRENS
2,INSPRATION,SENECA,ADULT
14,LARGEPRINT,SENECA,ADULT
8,MYSTERY,SENECA,ADULT
7,NONFICTION,SENECA,ADULT
1,PAPERBACK,SENECA,ADULT
37,ROMANCE,SENECA,ADULT
10,BOARDBK,SILVERLAKE,CHILDRENS
10,BOOKONCD,SILVERLAKE,ADULT
19,DVD,SILVERLAKE,ADULT
16,DVD,SILVERLAKE,CHILDRENS
6,EASY,SILVERLAKE,CHILDRENS
18,FICTION,SILVERLAKE,ADULT
10,FICTION,SILVERLAKE,CHILDRENS
7,FICTION,SILVERLAKE,YOUNGADULT
1,INSPRATION,SILVERLAKE,
7,INSPRATION,SILVERLAKE,ADULT
1,INSPRATION,SILVERLAKE,CHILDRENS
11,LARGEPRINT,SILVERLAKE,ADULT
12,MAGAZINE,SILVERLAKE,ADULT
4,MAGAZINE,SILVERLAKE,CHILDRENS
4,NONFICTION,SILVERLAKE,ADULT
1,NONFICTION,SILVERLAKE,CHILDRENS
5,BIOGRAPHY,TONGANOXIE,ADULT
3,BOARDBK,TONGANOXIE,CHILDRENS
5,BOOKONCD,TONGANOXIE,ADULT
13,DVD,TONGANOXIE,ADULT
4,DVD,TONGANOXIE,CHILDRENS
1,EASY,TONGANOXIE,CHILDRENS
24,FICTION,TONGANOXIE,ADULT
5,FICTION,TONGANOXIE,YOUNGADULT
1,GRAPHIC,TONGANOXIE,ADULT
5,GRAPHIC,TONGANOXIE,YOUNGADULT
8,LARGEPRINT,TONGANOXIE,ADULT
7,MUSIC,TONGANOXIE,ADULT
24,MYSTERY,TONGANOXIE,ADULT
27,NONFICTION,TONGANOXIE,ADULT
2,NONFICTION,TONGANOXIE,CHILDRENS
10,ON-ORDER,TONGANOXIE,ADULT
12,ON-ORDER,TONGANOXIE,CATALOGING
1,ON-ORDER,TONGANOXIE,YOUNGADULT
3,SF-FANT,TONGANOXIE,ADULT
1,VHS,TONGANOXIE,ADULT
2,VIDEOGAME,TONGANOXIE,YOUNGADULT
7,BOOKONCASS,VALLEYFALL,ADULT
2,DVD,VALLEYFALL,ADULT
4,FICTION,VALLEYFALL,ADULT
2,FICTION,VALLEYFALL,CHILDRENS
12,FICTION,VALLEYFALL,YOUNGADULT
1,GRAPHIC,VALLEYFALL,CHILDRENS
4,GRAPHIC,VALLEYFALL,YOUNGADULT
6,LARGEPRINT,VALLEYFALL,ADULT
13,MYSTERY,VALLEYFALL,ADULT
9,NONFICTION,VALLEYFALL,CHILDRENS
9,READER,VALLEYFALL,CHILDRENS
1,SF-FANT,VALLEYFALL,YOUNGADULT
3,VHS,VALLEYFALL,ADULT
1,BIOGRAPHY,WELLSVILLE,ADULT
3,BOOKONCD,WELLSVILLE,ADULT
18,DVD,WELLSVILLE,ADULT
3,DVD,WELLSVILLE,CHILDRENS
3,DVD,WELLSVILLE,YOUNGADULT
17,FICTION,WELLSVILLE,ADULT
17,FICTION,WELLSVILLE,CHILDRENS
8,FICTION,WELLSVILLE,YOUNGADULT
11,MYSTERY,WELLSVILLE,ADULT
2,MYSTERY,WELLSVILLE,YOUNGADULT
6,NONFICTION,WELLSVILLE,ADULT
4,NONFICTION,WELLSVILLE,CHILDRENS
1,NONFICTION,WELLSVILLE,YOUNGADULT
9,PROFCOLL,WELLSVILLE,
8,READER,WELLSVILLE,CHILDRENS
2,WESTERN,WELLSVILLE,ADULT
6,BOOKONCD,WETMORE,ADULT
2,DVD,WETMORE,ADULT
9,FICTION,WETMORE,ADULT
1,FICTION,WETMORE,CART
2,FICTION,WETMORE,YOUNGADULT
2,NONFICTION,WETMORE,ADULT
2,NONFICTION,WETMORE,CHILDRENS
9,READER,WETMORE,CHILDRENS
4,BIOGRAPHY,WILLIAMSBG,ADULT
4,BOARDBK,WILLIAMSBG,CHILDRENS
1,BOOKONCD,WILLIAMSBG,ADULT
5,CAKEPAN,WILLIAMSBG,ADULT
9,DVD,WILLIAMSBG,ADULT
2,EASY,WILLIAMSBG,ADULT
29,EASY,WILLIAMSBG,CHILDRENS
47,FICTION,WILLIAMSBG,ADULT
31,FICTION,WILLIAMSBG,CHILDRENS
3,FICTION,WILLIAMSBG,YOUNGADULT
17,HOLIDAY,WILLIAMSBG,CHILDRENS
4,KANSAS,WILLIAMSBG,ADULT
4,LARGEPRINT,WILLIAMSBG,ADULT
2,MUSIC,WILLIAMSBG,ADULT
143,MYSTERY,WILLIAMSBG,ADULT
54,NONFICTION,WILLIAMSBG,ADULT
11,NONFICTION,WILLIAMSBG,CHILDRENS
1,NONFICTION,WILLIAMSBG,YOUNGADULT
2,READER,WILLIAMSBG,CHILDRENS
11,WESTERN,WILLIAMSBG,ADULT
3,BOOKONCD,WINCHESTER,ADULT
