CHECK_OUT_LIBRARY,COLLECTION_CODE,CKO_RENW_ALL,CKO_RENEW_ADULT,CKO_RENEW_YA,CKO_RENEW_CHILDRENS,CKO_RENEW_OTHER
"Bern Community Library","VG-Nintendo Wii U",0,0,0,0,0
"Bern Community Library","VG-PlayStation 2 (PS2)",0,0,0,0,0
"Bern Community Library","VG-PlayStation 3 (PS3)",0,0,0,0,0
"Bern Community Library","VG-PlayStation 4 (PS4)",0,0,0,0,0
"Bern Community Library","VG-PlayStation 5 (PS5)",0,0,0,0,0
"Bern Community Library","VG-PlayStation Portable (PSP)",0,0,0,0,0
"Bern Community Library",VG-XBox,0,0,0,0,0
"Bern Community Library","VG-XBox 360",0,0,0,0,0
"Bern Community Library","VG-XBox One",0,0,0,0,0
"Bern Community Library","VG-XBox X",0,0,0,0,0
"Bern Community Library",VHS,0,0,0,0,0
"Bern Community Library","Video (Blu-ray)",2,0,2,0,0
"Bern Community Library","Video (Blu-ray/DVD combined edition)",0,0,0,0,0
"Bern Community Library","Video (DVD)",19,14,0,5,0
"Bern Community Library","Video (media player)",0,0,0,0,0
"Bern Community Library","Video-TV series (Blu-ray)",0,0,0,0,0
"Bern Community Library","Video-TV series (Blu-ray/DVD combined edition)",0,0,0,0,0
"Bern Community Library","Video-TV series (DVD)",7,7,0,0,0
"Bern Community Library","Video-TV series (media player)",0,0,0,0,0
"Bern Community Library",Western,2,2,0,0,0
"Bonner Springs City Library",(Unclassified),0,0,0,0,0
"Bonner Springs City Library","Action & Adventure",0,0,0,0,0
"Bonner Springs City Library","Adult literacy",0,0,0,0,0
"Bonner Springs City Library","African American history and literature",0,0,0,0,0
"Bonner Springs City Library","Archival materials",0,0,0,0,0
"Bonner Springs City Library",Atlas,0,0,0,0,0
"Bonner Springs City Library","Audiobook (cassette)",0,0,0,0,0
"Bonner Springs City Library","Audiobook (CD)",71,60,0,11,0
"Bonner Springs City Library","Audiobook (downloadable)",0,0,0,0,0
"Bonner Springs City Library","Audiobook (media player)",34,16,0,18,0
"Bonner Springs City Library",Bakeware,0,0,0,0,0
"Bonner Springs City Library","Battle of the books",0,0,0,0,0
"Bonner Springs City Library",Bicycle,0,0,0,0,0
"Bonner Springs City Library",Bilingual,0,0,0,0,0
"Bonner Springs City Library",Binder,0,0,0,0,0
"Bonner Springs City Library",Biography,77,58,2,17,0
"Bonner Springs City Library","Board Book",281,0,0,280,1
"Bonner Springs City Library","Chapter Books",0,0,0,0,0
"Bonner Springs City Library",Classics,1,1,0,0,0
"Bonner Springs City Library","Contemporary Issues",0,0,0,0,0
"Bonner Springs City Library","Downloadable Book",0,0,0,0,0
"Bonner Springs City Library","Downloadable Graphic Novel",0,0,0,0,0
"Bonner Springs City Library","Downloadable Magazine",0,0,0,0,0
"Bonner Springs City Library","Downloadable Movie",0,0,0,0,0
"Bonner Springs City Library","Downloadable Music",0,0,0,0,0
"Bonner Springs City Library","Downloadable TV Show",0,0,0,0,0
"Bonner Springs City Library","Easy Reader",246,0,0,246,0
"Bonner Springs City Library",Education,0,0,0,0,0
"Bonner Springs City Library",Fiction,1335,827,170,338,0
